overall_rank,pos_rank,player,position,team,games_left,rest_of_season_points,points_per_game,p10,p50,p90,adp_rank
298,119,Kyle Williams,WR,NE,16.0,32.65,2.041,4.922,26.725,69.244,
299,120,Isaiah Bond,WR,CLE,16.0,32.583,2.036,5.315,25.493,70.557,
300,121,Bo Melton,WR,GB,16.0,32.571,2.036,3.775,26.072,71.541,
301,47,Davis Mills,QB,HOU,16.0,32.159,2.01,3.626,25.58,68.021,
302,122,Lil'Jordan Humphrey,WR,DEN,16.0,32.019,2.001,3.391,23.409,70.096,
303,123,Devontez Walker,WR,BAL,16.0,31.823,1.989,2.424,23.383,71.051,
304,55,Mason Taylor,TE,NYJ,16.0,31.798,1.987,4.66,24.939,68.096,
305,80,Emanuel Wilson,RB,SEA,16.0,31.784,1.987,4.091,24.973,68.563,
306,56,Elijah Higgins,TE,ARI,16.0,31.612,1.976,4.667,24.891,68.941,
307,81,Jaylen Wright,RB,MIA,16.0,31.33,1.958,3.287,25.075,68.303,
308,124,David Sills,WR,TB,16.0,31.082,1.943,3.571,24.544,69.458,
309,125,Ricky Pearsall,WR,SF,16.0,30.544,1.909,2.517,24.657,66.494,
310,82,Hunter Luepke,RB,DAL,16.0,30.435,1.902,1.454,23.737,68.768,
311,83,Will Shipley,RB,PHI,16.0,30.367,1.898,3.003,24.335,65.675,
312,57,Luke Schoonmaker,TE,DAL,16.0,30.297,1.894,2.9,23.372,66.396,
313,126,Brycen Tremayne,WR,CAR,16.0,30.248,1.89,1.58,23.25,69.468,
314,127,Jordan Whittington,WR,LA,16.0,30.238,1.89,2.343,23.753,69.12,
315,128,Treylon Burks,WR,WAS,16.0,30.209,1.888,1.798,23.727,67.245,
316,48,Andy Dalton,QB,PHI,16.0,30.158,1.885,2.661,23.328,67.299,
317,84,Corey Kiner,RB,NE,16.0,30.089,1.881,2.951,23.495,66.646,
318,49,Marcus Mariota,QB,WAS,16.0,30.037,1.877,1.267,23.505,68.363,
319,58,Quintin Morris,TE,JAX,16.0,29.93,1.871,1.409,23.27,66.555,
320,59,Mo Alie-Cox,TE,IND,16.0,29.771,1.861,1.404,23.732,67.431,
321,85,Ollie Gordon II,RB,MIA,16.0,29.722,1.858,1.467,23.692,66.598,
322,129,Efton Chism III,WR,NE,16.0,29.58,1.849,1.999,22.979,67.351,
323,130,Roman Wilson,WR,PIT,16.0,29.512,1.844,1.697,22.962,64.732,
324,50,Kenny Pickett,QB,CAR,16.0,29.454,1.841,2.07,23.051,64.767,
325,131,Jared Wayne,WR,HOU,16.0,29.422,1.839,0.946,23.345,65.367,
326,60,Adam Trautman,TE,DEN,16.0,29.285,1.83,2.116,22.855,64.5,
327,86,Seth McGowan,RB,IND,16.0,28.926,1.808,0.414,22.05,65.534,
328,132,Malik Benson,WR,LV,16.0,28.495,1.781,0.0,22.491,65.563,
329,61,Kylen Granson,TE,TEN,16.0,27.467,1.717,0.0,20.582,64.506,
330,133,Darius Cooper,WR,PHI,16.0,27.41,1.713,0.0,20.197,66.62,
331,134,Jaylin Lane,WR,WAS,16.0,27.254,1.703,0.0,19.814,64.967,
332,62,Ben Sinnott,TE,WAS,16.0,27.213,1.701,0.0,19.776,65.031,
333,63,Grant Calcaterra,TE,PHI,16.0,27.158,1.697,0.0,20.068,66.572,
334,135,Kevin Coleman Jr.,WR,MIA,16.0,27.106,1.694,0.0,19.929,64.082,
335,136,Malachi Corley,WR,CLE,16.0,26.847,1.678,0.0,19.894,64.324,
336,137,Olamide Zaccheaus,WR,ATL,16.0,26.81,1.676,0.0,19.015,65.519,
337,138,Christian Kirk,WR,SF,16.0,26.627,1.664,0.0,19.752,62.853,
338,64,Keleki Latu,TE,BUF,16.0,26.508,1.657,0.0,19.822,65.455,
339,65,Austin Hooper,TE,ATL,16.0,26.387,1.649,0.0,18.912,62.431,
340,51,Sam Howell,QB,DAL,16.0,26.17,1.636,0.0,18.426,61.666,
341,66,Josh Whyle,TE,GB,16.0,25.851,1.616,0.0,19.082,60.988,
342,67,Davis Allen,TE,LA,16.0,25.78,1.611,0.0,18.534,61.964,
343,52,Justin Fields,QB,KC,16.0,25.719,1.607,0.0,19.482,59.989,
344,139,Zachariah Branch,WR,ATL,16.0,25.69,1.606,0.0,17.978,63.528,
345,68,Luke Farrell,TE,SF,16.0,25.667,1.604,0.0,18.163,61.85,
346,53,Michael Penix Jr.,QB,ATL,16.0,25.219,1.576,0.0,18.026,62.628,
347,69,Jeremy Ruckert,TE,NYJ,16.0,24.916,1.557,3.324,15.718,58.014,
348,70,Foster Moreau,TE,HOU,16.0,24.857,1.554,0.0,17.714,60.723,
349,140,Konata Mumpfield,WR,LA,16.0,24.322,1.52,3.313,15.229,56.678,
350,87,AJ Dillon,RB,CAR,16.0,23.915,1.495,0.0,16.29,58.443,
351,141,Jalen Tolbert,WR,MIA,16.0,23.628,1.477,2.729,14.852,56.297,
352,71,Julian Hill,TE,NE,16.0,23.571,1.473,3.519,15.742,55.241,
353,72,Durham Smythe,TE,BAL,16.0,23.423,1.464,0.0,15.714,58.209,
354,73,Jackson Hawes,TE,BUF,16.0,23.149,1.447,1.766,14.045,57.014,
355,142,Jonathan Mingo,WR,DAL,16.0,23.114,1.445,1.53,14.471,57.98,
356,143,Elijah Moore,WR,PHI,16.0,22.625,1.414,1.903,15.076,54.476,
357,144,Tyrell Shavers,WR,BUF,16.0,22.54,1.409,2.382,14.585,54.325,
358,88,George Holani,RB,SEA,16.0,22.497,1.406,2.59,14.179,53.633,
359,74,Will Kacmarek,TE,MIA,16.0,22.481,1.405,2.876,14.668,53.095,
360,145,Dyami Brown,WR,WAS,16.0,22.255,1.391,2.068,14.083,51.898,
361,75,Cade Stover,TE,HOU,16.0,22.171,1.386,2.652,14.707,51.578,
362,89,Ronnie Rivers,RB,LA,16.0,22.135,1.383,2.53,14.714,52.739,
363,146,Barion Brown,WR,NO,16.0,21.49,1.343,1.238,13.558,51.695,
364,147,KeAndre Lambert-Smith,WR,LAC,16.0,21.415,1.338,1.112,13.315,51.879,
365,54,Tommy DeVito,QB,NE,16.0,21.386,1.337,0.98,13.014,53.086,
366,90,Brady Russell,RB,SEA,16.0,21.351,1.334,0.112,12.406,51.583,
367,148,Montorie Foster Jr,WR,SEA,16.0,21.23,1.327,0.072,13.187,52.954,
368,55,Spencer Rattler,QB,NO,16.0,21.073,1.317,0.162,12.416,52.768,
369,91,Isaiah Davis,RB,NYJ,16.0,20.98,1.311,0.27,12.933,52.855,
370,56,Mac Jones,QB,SF,16.0,20.978,1.311,0.549,12.514,53.852,
371,57,Jameis Winston,QB,NYG,16.0,20.972,1.311,0.321,12.454,51.139,
372,92,Jeremy McNichols,RB,WAS,16.0,20.968,1.311,0.591,12.177,52.275,
373,76,Brock Wright,TE,DET,16.0,20.932,1.308,1.141,12.969,51.298,
374,77,Luke Musgrave,TE,GB,16.0,20.851,1.303,0.0,11.331,54.031,
375,149,Kaden Wetjen,WR,PIT,16.0,20.561,1.285,0.0,11.973,53.358,
376,93,Sione Vaki,RB,DET,16.0,20.535,1.283,1.756,12.371,50.668,
377,150,Myles Price,WR,MIN,16.0,20.282,1.268,0.0,10.833,52.447,
378,151,Tyquan Thornton,WR,KC,16.0,20.251,1.266,0.84,11.847,51.174,
379,152,Tay Martin,WR,DET,16.0,20.042,1.253,0.0,12.014,52.459,
380,94,Rasheen Ali,RB,BAL,16.0,20.012,1.251,0.0,11.789,49.905,
381,153,Britain Covey,WR,PHI,16.0,19.997,1.25,0.0,12.25,48.445,
382,95,Ty Chandler,RB,NO,16.0,19.911,1.244,0.0,10.824,51.275,
383,96,Tahj Brooks,RB,CIN,16.0,19.901,1.244,0.233,11.721,50.047,
384,78,Blake Whiteheart,TE,CLE,16.0,19.863,1.241,0.0,11.471,50.803,
385,97,Eli Heidenreich,RB,PIT,16.0,19.775,1.236,0.0,11.361,50.361,
386,58,Gardner Minshew,QB,ARI,16.0,19.601,1.225,0.0,12.421,50.136,
387,59,Joe Flacco,QB,CIN,16.0,19.514,1.22,0.0,11.176,51.992,
388,60,Dillon Gabriel,QB,CLE,16.0,19.427,1.214,0.0,10.578,50.348,
389,98,Kene Nwangwu,RB,NYJ,16.0,19.384,1.212,0.0,10.489,51.695,
390,99,Sean Tucker,RB,TB,16.0,19.36,1.21,0.0,9.682,51.394,
391,79,Jake Tonges,TE,SF,16.0,19.191,1.199,0.0,10.618,49.88,
392,61,Case Keenum,QB,CHI,16.0,19.128,1.196,0.0,10.525,49.422,
393,154,Derius Davis,WR,LAC,16.0,19.06,1.191,0.0,10.276,49.77,
394,80,Bauer Sharp,TE,TB,16.0,19.033,1.19,0.0,9.821,50.053,
395,100,Tyler Badie,RB,DEN,16.0,18.923,1.183,0.0,9.004,50.993,
396,155,Tim Patrick,WR,NYJ,16.0,18.909,1.182,0.0,10.072,51.347,
397,156,Odell Beckham Jr.,WR,NYG,16.0,18.907,1.182,0.0,10.208,49.51,
398,81,Carsen Ryan,TE,CLE,16.0,18.867,1.179,0.0,9.805,48.643,
399,62,Joshua Dobbs,QB,DET,16.0,18.449,1.153,0.0,9.176,49.572,
400,157,Arian Smith,WR,NYJ,16.0,18.334,1.146,0.0,9.134,48.31,
401,82,Charlie Kolar,TE,LAC,16.0,18.309,1.144,1.343,9.906,44.444,
402,83,Ja'Tavion Sanders,TE,CAR,16.0,18.141,1.134,0.0,9.275,48.427,
403,101,Patrick Ricard,RB,NYG,16.0,18.13,1.133,1.119,9.327,44.454,
404,158,Dont'e Thornton Jr.,WR,LV,16.0,18.124,1.133,1.519,9.985,44.524,
405,102,British Brooks,RB,HOU,16.0,17.996,1.125,0.118,9.489,46.223,
406,84,David Martin-Robinson,TE,TEN,16.0,17.893,1.118,0.83,9.8,45.028,
407,103,LeQuint Allen Jr.,RB,JAX,16.0,17.808,1.113,1.186,10.086,42.734,
408,63,Tyrod Taylor,QB,GB,16.0,17.662,1.104,0.0,8.998,47.126,
409,159,Skyy Moore,WR,GB,16.0,17.656,1.104,1.531,9.999,42.606,
410,160,Ke'Shawn Williams,WR,CIN,16.0,17.431,1.089,1.164,9.543,42.24,
411,64,Skylar Thompson,QB,BAL,16.0,17.331,1.083,0.683,8.972,44.087,
412,65,Stetson Bennett,QB,LA,16.0,17.19,1.074,1.05,8.567,43.916,
413,85,Eric Saubert,TE,SEA,16.0,16.928,1.058,0.286,9.001,42.783,
414,104,Trevor Etienne,RB,CAR,16.0,16.859,1.054,0.735,9.86,41.64,
415,66,Mason Rudolph,QB,PIT,16.0,16.844,1.053,0.497,8.68,42.77,
416,67,Zach Wilson,QB,NO,16.0,16.766,1.048,0.255,8.684,41.818,
417,68,Anthony Richardson,QB,IND,16.0,16.719,1.045,0.0,8.128,43.03,
418,161,Tai Felton,WR,MIN,16.0,16.701,1.044,0.0,8.421,41.687,
419,105,Dylan Laube,RB,LV,16.0,16.598,1.037,0.0,8.386,43.034,
420,86,Charlie Woerner,TE,ATL,16.0,16.534,1.033,0.483,8.475,41.185,
421,162,Tutu Atwell,WR,LA,16.0,16.479,1.03,0.0,8.908,43.035,
422,163,Kameron Johnson,WR,TB,16.0,16.223,1.014,0.0,7.403,42.722,
423,106,Tyler Goodson,RB,DAL,16.0,16.044,1.003,0.0,8.002,42.604,
424,69,Joe Fagnano,QB,BAL,16.0,15.626,0.977,0.0,6.764,43.116,
425,70,Sam Ehlinger,QB,DEN,16.0,15.478,0.967,0.0,7.227,41.437,
426,71,Cole Payton,QB,PHI,16.0,15.447,0.965,0.0,6.914,41.431,
427,72,Behren Morton,QB,NE,16.0,15.445,0.965,0.0,7.345,43.031,
428,164,Laquon Treadwell,WR,IND,16.0,15.333,0.958,0.0,7.236,40.97,
429,87,Tyler Conklin,TE,DET,16.0,15.257,0.954,0.0,5.71,41.368,
430,73,Kyle McCord,QB,MIA,16.0,15.085,0.943,0.0,6.627,40.871,
431,74,Ty Simpson,QB,LA,16.0,15.046,0.94,0.0,5.332,41.9,
432,75,Kurtis Rourke,QB,SF,16.0,14.928,0.933,0.0,5.93,41.919,
433,107,Chris Collier,RB,LV,16.0,14.824,0.927,0.0,6.155,40.673,
434,88,Elijah Arroyo,TE,SEA,16.0,14.737,0.921,0.0,6.218,40.446,
435,76,Matthew Caldwell,QB,LA,16.0,14.732,0.921,0.0,5.816,40.656,
436,77,Athan Kaliakmanis,QB,WAS,16.0,14.71,0.919,0.0,6.072,40.701,
437,78,Drew Allar,QB,PIT,16.0,14.679,0.917,0.0,5.646,38.749,
438,79,Will Howard,QB,PIT,16.0,14.637,0.915,0.0,5.547,40.298,
439,165,Tom Kennedy,WR,DET,16.0,14.557,0.91,0.0,5.896,40.693,
440,89,Johnny Mundt,TE,PHI,16.0,14.424,0.901,0.0,5.597,40.067,
441,166,Jalen Brooks,WR,ARI,16.0,14.269,0.892,0.0,5.744,39.59,
442,167,Jacob Cowing,WR,SF,16.0,14.259,0.891,0.0,5.231,40.464,
443,80,Jalon Daniels,QB,TB,16.0,14.231,0.889,0.0,5.858,39.115,
444,81,Kyle Allen,QB,BUF,16.0,14.187,0.887,0.0,6.012,38.249,
445,168,Ben Skowronek,WR,PIT,16.0,14.138,0.884,1.072,5.848,36.527,
446,169,Ashton Dulin,WR,IND,16.0,14.13,0.883,0.0,6.246,38.467,
447,82,Haynes King,QB,CAR,16.0,14.12,0.883,0.0,6.206,38.124,
448,90,Ben Yurosek,TE,MIN,16.0,14.116,0.882,0.0,5.414,39.757,
449,170,Devin Duvernay,WR,ARI,16.0,14.081,0.88,0.0,5.181,40.063,
450,171,Chris Blair,WR,ATL,16.0,14.063,0.879,0.0,5.648,39.962,
451,83,Jack Strand,QB,ATL,16.0,14.063,0.879,0.0,5.364,38.143,
452,108,Kaleb Johnson,RB,GB,16.0,14.043,0.878,1.434,6.065,35.071,
453,172,Savion Williams,WR,GB,16.0,13.806,0.863,1.092,5.859,34.945,
454,109,Reggie Gilliam,RB,NE,16.0,13.804,0.863,1.074,5.584,34.989,
455,84,Garrett Nussmeier,QB,KC,16.0,13.79,0.862,0.0,4.821,39.936,
456,173,Jeshaun Jones,WR,MIN,16.0,13.742,0.859,0.0,5.194,36.135,
457,85,Graham Mertz,QB,HOU,16.0,13.705,0.857,1.219,6.108,34.232,
458,86,Taylen Green,QB,CLE,16.0,13.621,0.851,1.375,6.293,35.735,
459,87,Carson Beck,QB,ARI,16.0,13.563,0.848,0.453,5.25,36.215,
460,88,Cade Klubnik,QB,NYJ,16.0,13.558,0.847,0.0,4.735,38.351,
461,174,Jalen Royals,WR,KC,16.0,13.474,0.842,0.161,5.189,35.612,
462,91,Andrew Ogletree,TE,IND,16.0,13.209,0.826,0.032,4.821,36.307,
463,110,Roschon Johnson,RB,CHI,16.0,13.105,0.819,0.486,5.31,33.976,
464,175,Jake Bobo,WR,SEA,16.0,13.033,0.815,1.291,5.448,32.128,
465,176,Mason Tipton,WR,NO,16.0,12.934,0.808,0.154,5.199,33.576,
466,177,Nikko Remigio,WR,KC,16.0,12.894,0.806,0.0,4.535,35.554,
467,92,Payne Durham,TE,TB,16.0,12.7,0.794,0.033,4.85,32.98,
468,89,Tyson Bagent,QB,CHI,16.0,12.64,0.79,0.0,4.579,34.586,
469,111,Jacob Saylors,RB,DET,16.0,12.614,0.788,1.03,5.389,31.361,
470,93,Jake Briningstool,TE,KC,16.0,12.584,0.787,0.0,5.096,33.266,
471,94,Nate Adkins,TE,DEN,16.0,12.455,0.778,0.162,5.12,33.743,
472,112,DJ Giddens,RB,IND,16.0,12.438,0.777,0.031,4.663,32.123,
473,90,Jalen Milroe,QB,SEA,16.0,12.396,0.775,0.0,4.455,34.119,
474,95,Hunter Long,TE,ARI,16.0,12.185,0.762,0.0,4.001,33.273,
475,178,D.J. Montgomery,WR,IND,16.0,12.087,0.755,0.0,4.752,32.354,
476,179,Ryan Miller,WR,MIA,16.0,11.76,0.735,0.0,4.49,33.127,
477,96,E.J. Jenkins,TE,PHI,16.0,11.717,0.732,0.0,3.999,33.739,
478,97,Jelani Woods,TE,NYJ,16.0,11.63,0.727,0.0,3.069,33.62,
479,180,Johnny Wilson,WR,PHI,16.0,11.625,0.727,0.0,3.56,32.936,
480,98,Treyton Welch,TE,NO,16.0,11.574,0.723,0.0,3.619,32.691,
481,181,Dareke Young,WR,LV,16.0,11.562,0.723,0.0,3.124,32.598,
482,113,Trey Sermon,RB,ATL,16.0,11.467,0.717,0.0,2.505,34.75,
483,99,Moliki Matavao,TE,NO,16.0,11.312,0.707,0.0,2.958,33.929,
484,182,Luke McCaffrey,WR,WAS,16.0,11.26,0.704,0.0,3.944,31.53,
485,100,Will Mallory,TE,IND,16.0,11.174,0.698,0.845,4.168,29.201,
486,114,Isaac Guerendo,RB,SF,16.0,11.125,0.695,0.0,3.359,30.552,
487,91,Jarrett Stidham,QB,DEN,16.0,11.113,0.695,0.0,3.079,32.029,
488,101,Colson Yankoff,TE,WAS,16.0,11.054,0.691,0.0,3.274,31.752,
489,115,Robbie Ouzts,RB,SEA,16.0,10.791,0.674,0.0,2.627,30.975,
490,102,Brayden Willis,TE,SF,16.0,10.789,0.674,0.0,2.537,30.795,
491,103,Cameron Latu,TE,NE,16.0,10.715,0.67,0.779,4.086,28.654,
492,183,Jeremiah Webb,WR,NE,16.0,10.458,0.654,0.102,3.26,28.897,
493,184,Skyler Bell,WR,BUF,16.0,10.199,0.637,0.33,3.599,27.658,
494,104,Ian Thomas,TE,LV,16.0,10.188,0.637,0.0,2.049,29.849,
495,105,Chris Manhertz,TE,NYG,16.0,10.157,0.635,0.384,3.788,26.148,
496,106,Feleipe Franks,TE,CAR,16.0,10.099,0.631,0.323,3.525,27.613,
497,116,Adam Randall,RB,BAL,16.0,10.066,0.629,0.0,2.987,28.956,
498,117,Brittain Brown,RB,CHI,16.0,10.052,0.628,0.01,3.242,27.706,
499,185,Tylan Wallace,WR,CLE,16.0,10.027,0.627,0.0,2.017,30.302,
500,118,Julius Chestnut,RB,TEN,16.0,10.025,0.627,0.0,1.91,29.975,
501,107,Cole Turner,TE,MIA,16.0,9.889,0.618,0.0,3.246,27.648,
502,186,J. Michael Sturdivant,WR,GB,16.0,9.879,0.617,0.049,3.191,27.626,
503,108,Tanner Arkin,TE,NE,16.0,9.867,0.617,0.0,1.94,28.17,
504,187,Elijah Sarratt,WR,BAL,16.0,9.823,0.614,0.603,3.638,26.27,
505,188,Chris Brazzell II,WR,CAR,16.0,9.731,0.608,0.0,3.022,27.644,
506,189,Simi Fehoko,WR,ARI,16.0,9.672,0.604,0.0,2.842,27.534,
507,119,Max Bredeson,RB,MIN,16.0,9.666,0.604,0.0,2.922,26.316,
508,190,Corey Rucker,WR,LV,16.0,9.599,0.6,0.0,2.462,27.399,
509,191,Deion Burks,WR,IND,16.0,9.591,0.599,0.0,2.457,27.606,
510,120,Connor Heyward,RB,LV,16.0,9.479,0.592,0.0,1.726,27.788,
511,121,Trey Benson,RB,ARI,16.0,9.403,0.588,0.0,2.615,26.783,
512,122,Demond Claiborne,RB,MIN,16.0,9.282,0.58,0.0,2.922,25.718,
513,109,Oscar Delp,TE,NO,16.0,9.203,0.575,0.886,4.046,23.765,
514,192,Tory Horton,WR,SEA,16.0,9.199,0.575,0.0,2.496,26.095,
515,123,Myles Montgomery,RB,NE,16.0,9.192,0.574,0.0,2.573,25.562,
516,193,Cole Burgess,WR,PIT,16.0,9.174,0.573,0.0,2.347,26.296,
517,194,CJ Daniels,WR,LA,16.0,9.173,0.573,0.0,2.768,26.283,
518,110,Gavin Bartholomew,TE,MIN,16.0,9.151,0.572,0.0,2.235,26.43,
519,111,Tip Reiman,TE,ARI,16.0,9.102,0.569,0.0,2.666,26.393,
520,112,Josh Cuevas,TE,BAL,16.0,9.093,0.568,0.0,2.251,24.993,
521,195,Camden Brown,WR,DAL,16.0,9.074,0.567,0.0,2.404,24.978,
522,124,Andrew Beck,RB,NYJ,16.0,9.013,0.563,0.0,1.729,26.491,
523,196,Germie Bernard,WR,PIT,16.0,8.995,0.562,0.0,2.384,25.448,
524,125,DJ Herman,RB,MIA,16.0,8.916,0.557,0.0,2.717,25.381,
525,197,Jeff Caldwell,WR,KC,16.0,8.913,0.557,0.0,2.459,26.669,
526,113,Justin Joly,TE,MIA,16.0,8.912,0.557,0.0,2.05,25.907,
527,198,Kendrick Law,WR,DET,16.0,8.901,0.556,0.0,2.582,26.829,
528,114,Mark Redman,TE,GB,16.0,8.89,0.556,0.0,1.829,24.394,
529,126,Bam Knight,RB,ARI,16.0,8.841,0.553,0.0,1.545,27.16,
530,199,Gary Jennings,WR,LAC,16.0,8.841,0.553,0.0,2.119,25.158,
531,200,Jimmy Holiday,WR,KC,16.0,8.823,0.551,0.0,2.475,25.788,
532,115,Jameson Geers,TE,ARI,16.0,8.817,0.551,0.759,3.931,22.028,
533,127,Kyle Juszczyk,RB,SF,16.0,8.813,0.551,0.0,1.941,26.241,
534,201,Zavion Thomas,WR,CHI,16.0,8.812,0.551,0.0,2.142,24.971,
535,116,Thomas Yassmin,TE,GB,16.0,8.809,0.551,0.0,1.819,26.287,
536,117,Nick Kallerup,TE,SEA,16.0,8.759,0.547,0.0,1.904,24.469,
537,202,Beaux Collins,WR,ATL,16.0,8.746,0.547,0.0,1.831,26.321,
538,118,Eli Stowers,TE,PHI,16.0,8.713,0.545,0.0,1.882,26.619,
539,203,C.J. Williams,WR,JAX,16.0,8.66,0.541,0.0,2.494,25.3,
540,119,Carter Runyon,TE,LV,16.0,8.622,0.539,0.196,3.393,23.091,
541,128,Chip Trayanum,RB,NYJ,16.0,8.617,0.539,0.0,1.906,25.131,
542,204,Brenen Thompson,WR,LAC,16.0,8.601,0.538,0.0,1.928,26.481,
543,120,Riley Nowakowski,TE,PIT,16.0,8.579,0.536,0.0,0.906,25.369,
544,121,Seydou Traore,TE,MIA,16.0,8.56,0.535,0.0,2.056,25.536,
545,122,DJ Rogers,TE,DAL,16.0,8.523,0.533,0.0,0.887,26.252,
546,123,Tanner Koziol,TE,JAX,16.0,8.511,0.532,0.0,1.024,25.245,
547,205,Colbie Young,WR,CIN,16.0,8.509,0.532,0.0,1.828,25.672,
548,124,Ko Kieft,TE,TB,16.0,8.479,0.53,0.0,0.87,25.293,
549,125,Princeton Fant,TE,DAL,16.0,8.471,0.529,0.0,3.012,23.177,
550,126,Thomas Odukoya,TE,KC,16.0,8.449,0.528,0.0,1.067,25.415,
551,206,Reggie Virgil,WR,ARI,16.0,8.4,0.525,0.0,1.263,25.707,
552,127,Jaren Kanak,TE,TEN,16.0,8.378,0.524,0.0,0.919,24.946,
553,207,Brock Rechsteiner,WR,NO,16.0,8.363,0.523,0.0,1.203,25.164,
554,128,Caleb Lohner,TE,DEN,16.0,8.305,0.519,0.0,0.46,24.638,
555,129,Robert Tonyan,TE,PIT,16.0,8.303,0.519,0.0,1.408,24.322,
556,129,Scott Matlock,RB,LAC,16.0,8.251,0.516,0.0,1.287,25.615,
557,130,Carson Towt,TE,IND,16.0,8.191,0.512,0.0,0.958,25.724,
558,131,Nikola Kalinic,TE,CHI,16.0,8.178,0.511,0.0,0.525,24.357,
559,132,Jackson Meeks,TE,DET,16.0,8.172,0.511,0.0,1.018,23.789,
560,133,Jared Wiley,TE,KC,16.0,8.171,0.511,0.0,0.418,24.753,
561,134,Sam Roush,TE,CHI,16.0,8.148,0.509,0.0,0.721,25.725,
562,130,Michael Burton,RB,CLE,16.0,8.146,0.509,0.0,1.467,25.825,
563,135,Joe Royer,TE,CLE,16.0,8.109,0.507,0.0,0.698,24.662,
564,136,Hayden Large,TE,CHI,16.0,8.081,0.505,0.0,0.658,24.54,
565,208,Justin Shorter,WR,LV,16.0,8.071,0.504,0.206,3.376,21.276,
566,137,Max Klare,TE,LA,16.0,8.011,0.501,0.0,1.271,23.313,
567,138,Jack Endries,TE,CIN,16.0,7.991,0.499,0.0,0.37,25.27,
568,139,Dallen Bentley,TE,DEN,16.0,7.885,0.493,0.0,0.619,25.073,
569,140,Brevin Jordan,TE,HOU,16.0,7.854,0.491,0.0,0.232,25.445,
570,131,Alec Ingold,RB,LAC,16.0,7.852,0.491,0.0,1.223,24.184,
571,141,John Michael Gyllenborg,TE,KC,16.0,7.458,0.466,0.0,0.9,23.074,
572,209,Jordan Watkins,WR,SF,16.0,7.395,0.462,0.0,2.776,20.47,
573,210,Irvin Charles,WR,SEA,16.0,7.062,0.441,0.0,2.19,20.651,
574,142,Erick All,TE,CIN,16.0,6.157,0.385,0.0,0.0,18.435,
575,143,Thomas Fidone II,TE,NYG,16.0,5.809,0.363,0.0,0.0,18.801,
