overall_rank,pos_rank,player,position,team,opponent,projected_points,p10,p50,p90,p_plays,inj_status
560,195,Irvin Charles,WR,SEA,WAS,-0.092,0.0,0.0,0.0,0.061,0.0
561,89,Matthew Caldwell,QB,LA,DEN,-0.094,0.0,0.0,0.0,0.059,0.0
562,196,Simi Fehoko,WR,ARI,SF,-0.107,-1.768,0.0,0.0,0.29,0.0
563,90,Dillon Gabriel,QB,CLE,CAR,-0.114,0.0,0.0,0.0,0.103,0.0
564,144,Nikola Kalinic,TE,CHI,PHI,-0.148,-1.531,0.0,0.0,0.195,0.0
565,197,Luke McCaffrey,WR,WAS,SEA,-0.159,0.0,0.0,0.0,0.108,0.0
566,198,Jake Bobo,WR,SEA,WAS,-0.172,-1.543,0.0,0.0,0.174,0.0
567,199,Tay Martin,WR,DET,NYJ,-0.173,-1.91,-0.28,1.174,0.756,0.0
568,200,Ryan Miller,WR,MIA,KC,-0.182,-1.9,0.0,0.65,0.559,0.0
569,201,Jaylin Lane,WR,WAS,SEA,-0.194,-2.053,-0.542,1.68,0.796,0.0
570,202,Jeshaun Jones,WR,MIN,TB,-0.225,-1.823,0.0,0.0,0.196,0.0
571,203,Justin Shorter,WR,LV,NO,-0.239,-1.862,0.0,0.0,0.165,0.0
572,204,Nikko Remigio,WR,KC,MIA,-0.263,-2.023,-0.207,1.186,0.743,0.0
573,205,Ke'Shawn Williams,WR,CIN,PIT,-0.289,-2.295,0.0,0.0,0.32,0.0
574,206,Montorie Foster Jr,WR,SEA,WAS,-0.351,-2.215,0.0,0.0,0.342,0.0
575,207,Zavion Thomas,WR,CHI,PHI,-0.407,-2.249,-0.308,0.719,0.676,0.0
576,91,Jack Strand,QB,ATL,GB,-0.463,-5.072,0.0,3.112,0.522,0.0
577,208,J. Michael Sturdivant,WR,GB,ATL,-0.536,-2.563,0.0,0.277,0.604,0.0
578,209,Devin Duvernay,WR,ARI,SF,-0.792,-2.767,-1.45,1.13,0.902,0.0
579,210,Kameron Johnson,WR,TB,MIN,-1.114,-3.193,-1.806,0.559,0.827,0.0
580,211,Kaden Wetjen,WR,PIT,CIN,-1.156,-3.13,-1.901,0.881,0.888,0.0
581,212,Britain Covey,WR,PHI,CHI,-1.261,-3.303,-1.915,0.455,0.828,0.0
