overall_rank,pos_rank,player,position,team,games_left,expected_games_played,rest_of_season_points,points_per_active_game,points_per_scheduled_game,p10,p50,p90,adp_rank
1,1,Jahmyr Gibbs,RB,DET,15.0,12.916,303.779,23.519,20.252,194.257,309.101,398.843,1.0
2,1,Jaxon Smith-Njigba,WR,SEA,15.0,13.046,278.063,21.314,18.538,182.619,280.843,367.67,5.0
3,1,Josh Allen,QB,BUF,15.0,12.561,273.011,21.736,18.201,179.977,278.12,349.504,34.0
4,2,Bijan Robinson,RB,ATL,15.0,12.91,271.565,21.035,18.104,162.654,276.998,367.62,2.0
5,2,Amon-Ra St. Brown,WR,DET,15.0,13.202,265.208,20.089,17.681,167.238,270.059,355.395,7.0
6,3,Ja'Marr Chase,WR,CIN,15.0,13.03,254.235,19.512,16.949,160.165,256.46,350.123,4.0
7,4,Puka Nacua,WR,LA,15.0,8.98,243.242,27.088,16.216,130.964,242.128,354.697,3.0
8,3,Jonathan Taylor,RB,IND,15.0,12.695,233.021,18.356,15.535,133.862,239.117,325.447,8.0
9,5,CeeDee Lamb,WR,DAL,15.0,12.925,230.273,17.816,15.352,130.638,238.304,322.406,10.0
10,4,Christian McCaffrey,RB,SF,15.0,12.24,229.197,18.725,15.28,123.176,236.846,329.749,6.0
11,2,Dak Prescott,QB,DAL,15.0,12.997,228.711,17.597,15.247,133.013,230.586,320.961,67.0
12,3,Lamar Jackson,QB,BAL,15.0,12.644,228.163,18.046,15.211,134.639,231.013,319.671,59.0
13,4,Joe Burrow,QB,CIN,15.0,12.563,227.712,18.126,15.181,131.318,231.849,317.601,57.0
14,5,Brock Purdy,QB,SF,15.0,12.251,226.782,18.512,15.119,126.339,239.561,310.451,87.0
15,6,Drake Maye,QB,NE,15.0,12.785,222.339,17.391,14.823,115.096,228.724,321.432,51.0
16,6,Justin Jefferson,WR,MIN,15.0,13.149,221.85,16.873,14.79,124.817,229.812,306.965,11.0
17,7,Jared Goff,QB,DET,15.0,13.357,221.37,16.574,14.758,116.934,233.415,314.576,104.0
18,8,Matthew Stafford,QB,LA,15.0,13.186,221.17,16.773,14.745,102.546,228.627,316.875,78.0
19,9,Caleb Williams,QB,CHI,15.0,13.152,215.812,16.409,14.387,95.397,228.466,299.097,90.0
20,5,Derrick Henry,RB,BAL,15.0,12.901,213.673,16.562,14.245,109.161,222.816,307.846,16.0
21,10,Patrick Mahomes,QB,KC,15.0,11.557,213.527,18.475,14.235,96.208,228.901,301.056,106.0
22,11,Jalen Hurts,QB,PHI,15.0,12.285,212.297,17.28,14.153,83.799,221.174,315.122,80.0
23,7,Chris Olave,WR,NO,15.0,11.659,211.045,18.101,14.07,116.104,217.405,295.948,19.0
24,12,Tyler Shough,QB,NO,15.0,12.054,208.47,17.294,13.898,112.711,213.439,290.969,147.0
25,6,De'Von Achane,RB,MIA,15.0,11.733,206.357,17.587,13.757,101.154,210.253,302.358,9.0
26,7,Kenneth Walker III,RB,KC,15.0,12.488,206.041,16.499,13.736,103.552,211.178,302.464,23.0
27,8,Chase Brown,RB,CIN,15.0,12.735,205.455,16.133,13.697,110.538,211.57,297.222,14.0
28,9,James Cook,RB,BUF,15.0,12.886,204.317,15.855,13.621,104.999,208.869,300.667,12.0
29,13,Trevor Lawrence,QB,JAX,15.0,13.005,203.248,15.629,13.55,79.623,210.28,294.252,94.0
30,14,Jayden Daniels,QB,WAS,15.0,10.287,200.197,19.461,13.346,81.198,206.171,305.816,73.0
31,10,Ashton Jeanty,RB,LV,15.0,12.967,199.598,15.393,13.307,99.038,206.788,290.132,21.0
32,8,DeVonta Smith,WR,PHI,15.0,12.976,194.421,14.983,12.961,108.809,198.964,271.574,30.0
33,15,Baker Mayfield,QB,TB,15.0,13.29,193.452,14.557,12.897,96.799,197.492,277.898,133.0
34,16,Bo Nix,QB,DEN,15.0,13.228,193.164,14.603,12.878,83.507,202.944,284.138,118.0
35,9,Drake London,WR,ATL,15.0,12.597,191.525,15.204,12.768,93.393,191.36,287.668,13.0
36,10,Davante Adams,WR,LA,15.0,11.414,188.468,16.511,12.565,99.683,195.764,264.617,42.0
37,17,Jaxson Dart,QB,NYG,15.0,12.095,187.634,15.513,12.509,82.027,193.854,270.834,124.0
38,1,Trey McBride,TE,ARI,15.0,12.901,187.069,14.501,12.471,96.458,187.621,275.0,29.0
39,11,Rashee Rice,WR,KC,15.0,10.028,187.059,18.655,12.471,91.941,188.714,276.028,15.0
40,12,Tetairoa McMillan,WR,CAR,15.0,12.973,184.052,14.188,12.27,100.874,188.589,263.735,31.0
41,18,Justin Herbert,QB,LAC,15.0,12.402,183.406,14.788,12.227,57.327,189.156,285.109,107.0
42,13,George Pickens,WR,DAL,15.0,12.925,183.086,14.165,12.206,92.432,183.87,271.186,20.0
43,19,Jordan Love,QB,GB,15.0,10.55,181.871,17.238,12.125,86.671,181.181,269.964,155.0
44,14,Garrett Wilson,WR,NYJ,15.0,10.966,181.554,16.556,12.104,89.046,188.765,264.541,27.0
45,20,Bryce Young,QB,CAR,15.0,12.885,177.484,13.775,11.832,72.301,186.547,275.11,233.0
46,15,Zay Flowers,WR,BAL,15.0,9.266,177.117,19.114,11.808,79.342,183.325,264.428,25.0
47,16,Tee Higgins,WR,CIN,15.0,12.365,176.687,14.289,11.779,83.283,185.168,253.148,37.0
48,11,Omarion Hampton,RB,LAC,15.0,10.383,176.444,16.993,11.763,75.861,182.262,270.034,24.0
49,12,Kyren Williams,RB,LA,15.0,12.124,173.555,14.315,11.57,79.246,176.067,259.985,32.0
50,21,C.J. Stroud,QB,HOU,15.0,12.875,173.19,13.451,11.546,76.484,169.366,258.906,197.0
51,17,Parker Washington,WR,JAX,15.0,12.06,173.064,14.351,11.538,79.447,181.631,251.627,64.0
52,13,Breece Hall,RB,NYJ,15.0,11.462,172.465,15.047,11.498,78.407,173.951,258.988,33.0
53,18,Christian Watson,WR,GB,15.0,11.204,171.61,15.317,11.441,87.395,177.011,249.036,60.0
54,19,A.J. Brown,WR,NE,15.0,8.374,170.652,20.38,11.377,66.862,171.663,270.253,17.0
55,14,D'Andre Swift,RB,CHI,15.0,12.618,170.545,13.516,11.37,73.564,171.331,255.801,45.0
56,15,Jeremiyah Love,RB,ARI,15.0,12.47,170.145,13.645,11.343,80.366,174.291,254.929,28.0
57,20,Emeka Egbuka,WR,TB,15.0,12.946,170.145,13.143,11.343,81.9,175.676,249.365,36.0
58,21,Nico Collins,WR,HOU,15.0,7.971,168.807,21.178,11.254,71.503,165.622,259.838,22.0
59,22,Ladd McConkey,WR,LAC,15.0,11.67,166.728,14.286,11.115,67.901,175.483,248.588,40.0
60,23,Jaylen Waddle,WR,DEN,15.0,11.873,165.558,13.944,11.037,74.044,171.783,244.848,44.0
61,24,Malik Nabers,WR,NYG,15.0,9.697,165.181,17.033,11.012,68.795,163.261,260.989,26.0
62,16,Saquon Barkley,RB,PHI,15.0,11.311,164.19,14.515,10.946,59.416,166.659,265.893,18.0
63,17,Bucky Irving,RB,TB,15.0,12.174,162.069,13.312,10.805,76.572,161.432,246.359,47.0
64,18,Javonte Williams,RB,DAL,15.0,11.618,161.164,13.872,10.744,72.053,163.5,243.469,38.0
65,25,Jameson Williams,WR,DET,15.0,12.318,159.024,12.91,10.602,63.316,167.081,235.614,46.0
66,26,Mike Evans,WR,SF,15.0,12.758,156.72,12.284,10.448,65.282,164.258,241.529,55.0
67,19,Travis Etienne,RB,NO,15.0,12.129,154.392,12.729,10.293,63.332,160.246,234.194,39.0
68,22,Cam Ward,QB,TEN,15.0,13.045,154.03,11.808,10.269,68.448,157.038,243.641,240.0
69,27,Luther Burden III,WR,CHI,15.0,12.171,152.363,12.518,10.158,63.459,159.252,227.614,53.0
70,28,Terry McLaurin,WR,WAS,15.0,12.911,151.961,11.77,10.131,56.336,157.436,231.961,49.0
71,23,Kyler Murray,QB,MIN,15.0,6.503,151.741,23.335,10.116,44.192,152.182,267.52,142.0
72,24,Malik Willis,QB,MIA,15.0,9.701,151.564,15.623,10.104,54.778,151.335,237.996,204.0
73,29,Stefon Diggs,WR,WAS,15.0,12.803,151.516,11.835,10.101,64.159,154.995,232.16,96.0
74,30,DJ Moore,WR,BUF,15.0,13.054,151.083,11.574,10.072,53.49,157.296,228.228,48.0
75,20,Cam Skattebo,RB,NYG,15.0,9.389,150.147,15.991,10.01,53.694,155.911,232.046,41.0
