overall_rank,pos_rank,player,position,team,games_left,expected_games_played,rest_of_season_points,points_per_active_game,points_per_scheduled_game,p10,p50,p90,adp_rank
510,194,Tylan Wallace,WR,CLE,15.0,3.734,8.801,2.357,0.587,0.0,2.475,25.11,
511,195,Cole Burgess,WR,PIT,15.0,2.35,8.801,3.744,0.587,0.798,3.913,22.992,
512,104,Tanner Arkin,TE,NE,15.0,2.35,8.712,3.707,0.581,0.472,3.721,23.96,
513,123,DJ Giddens,RB,IND,15.0,3.807,8.681,2.28,0.579,0.0,1.416,26.378,
514,196,Jimmy Holiday,WR,KC,15.0,2.35,8.605,3.661,0.574,0.646,3.97,22.752,
515,197,Jeremiah Webb,WR,NE,15.0,2.35,8.59,3.655,0.573,0.0,0.984,26.015,
516,124,Scott Matlock,RB,LAC,15.0,2.35,8.522,3.626,0.568,0.492,3.635,23.305,
517,105,Seydou Traore,TE,MIA,15.0,2.35,8.508,3.62,0.567,0.367,3.482,23.037,
518,106,Jake Briningstool,TE,KC,15.0,3.849,8.485,2.205,0.566,0.665,3.71,22.491,
519,198,Luke McCaffrey,WR,WAS,15.0,3.601,8.452,2.347,0.563,0.0,1.946,24.592,
520,107,Gavin Bartholomew,TE,MIN,15.0,2.35,8.368,3.56,0.558,0.136,3.276,24.104,
521,125,Alec Ingold,RB,LAC,15.0,2.35,8.364,3.559,0.558,0.45,3.698,22.169,
522,126,Adam Randall,RB,BAL,15.0,2.35,8.363,3.558,0.558,0.0,1.23,25.606,
523,108,Thomas Yassmin,TE,GB,15.0,2.35,8.334,3.546,0.556,0.278,3.449,21.627,
524,109,Eli Stowers,TE,PHI,15.0,2.35,8.251,3.51,0.55,0.413,3.619,20.846,
525,110,Josh Cuevas,TE,BAL,15.0,2.35,8.203,3.49,0.547,0.0,0.555,24.959,
526,111,Mark Redman,TE,GB,15.0,2.35,8.193,3.486,0.546,0.389,3.547,21.483,
527,127,Trey Benson,RB,ARI,15.0,2.969,8.179,2.755,0.545,0.0,0.894,24.608,
528,112,Tanner Koziol,TE,JAX,15.0,2.35,8.177,3.479,0.545,0.0,2.771,23.779,
529,113,Feleipe Franks,TE,CAR,15.0,9.171,8.115,0.885,0.541,0.0,1.575,24.164,
530,128,Michael Burton,RB,CLE,15.0,2.35,8.074,3.435,0.538,0.701,3.808,19.916,
531,129,Connor Heyward,RB,LV,15.0,2.35,8.049,3.425,0.537,0.567,3.61,21.257,
532,114,Justin Joly,TE,MIA,15.0,2.35,8.047,3.424,0.536,0.352,3.445,20.922,
533,115,Jaren Kanak,TE,TEN,15.0,2.35,8.015,3.41,0.534,0.0,3.229,22.163,
