overall,player_name,team,position,adp_rank,adp_drafted,projection,p10,p50,p90,model_only,projected_games,suspended_games,snap_share,pass_attempt_share,target_share,carry_share,pass_attempts,targets,carries,completion_rate,yards_per_attempt,pass_td_rate,pass_int_rate,catch_rate,yards_per_target,rec_td_rate,yards_per_carry,rush_td_rate,fumble_rate,fumble_lost_rate,pass_cmp,pass_yds,pass_td,pass_int,receptions,rec_yds,rec_td,rush_yds,rush_td,fumbles_lost,position_rank
23,De'Von Achane,MIA,RB,9.0,1.0,237.04388260388822,95.16000000000001,244.2751653913899,361.92,241.2212,14.475,0.0,0.47777092792677056,0.0,0.16955776158135918,0.35183788848039227,0.0,83.17025,152.04775,,,,,0.7985191648302782,6.1159198596179065,0.03452768185991174,5.188167269192583,0.03182182507704904,0.0046591856384236635,0.0023254728869318343,0.0,0.0,0.0,0.0,66.39475,506.7535,2.88325,787.156,4.8735,0.5525,4
24,Patrick Mahomes,KC,QB,106.0,1.0,235.5839793125894,73.80517265420366,255.57393498113936,345.1028430431141,224.14328999999998,14.68925,0.0,0.793081291056098,0.6900913979721833,0.0,0.16003548212777235,396.851,0.0,70.42275,0.6552568320957198,7.320915485687864,0.04464170085186076,0.01918472050176769,,,,5.017868934487754,0.048462401780673445,0.007210473386474847,0.003598860758822187,260.189,2904.061,17.72,7.55075,0.0,0.0,0.0,350.0685,3.4415,1.72675,13
25,Jared Goff,DET,QB,104.0,1.0,235.34233111975874,99.58800000000004,254.93,328.2217875586906,234.22186499999998,14.81925,0.0,0.8075522734455147,0.8841740624651074,0.0,0.039442063518214825,504.08475,0.0,17.59325,0.6762694102000383,7.558781841118913,0.047372433377052936,0.01744067046944794,,,,3.2696531886386815,0.04079265988121985,0.010565579393108695,0.005273446975534699,340.96125,3801.05225,23.85525,8.7905,0.0,0.0,0.0,55.34775,0.70975,2.72675,14
26,Joe Burrow,CIN,QB,57.0,1.0,234.76825226833932,68.054,255.4643399652953,360.0140545622235,160.25123,14.472,0.0,0.732252553970008,0.5455366919804286,0.0,0.09044736104944587,319.38925,0.0,37.393,0.6618664444865908,7.253287423970927,0.045202460978767706,0.019203150585482213,,,,3.926867124751646,0.04545644532942101,0.0056555258503717025,0.002822761968941663,211.4635,2309.4245,14.436,6.1435,0.0,0.0,0.0,143.7325,1.676,1.006,15
27,Brock Purdy,SF,QB,87.0,1.0,234.01943691597137,74.46456211672242,253.00456211672235,337.90533389338935,203.60889500000002,14.5075,0.0,0.7465919595428571,0.6290242942501233,0.0,0.16332108962499065,335.62975,0.0,78.16825,0.661409449635647,7.445142504511889,0.04737316807834376,0.021473801706984676,,,,4.223267973450838,0.05522756175537877,0.01054301313337367,0.005262183800111834,222.21775,2497.7605,15.8225,7.15425,0.0,0.0,0.0,329.36975,4.35025,2.16075,16
28,Rashee Rice,KC,WR,15.0,1.0,233.62837355496245,99.77863696973023,242.1479137944212,347.77,240.07330000000002,13.3835,0.0,0.41883436637419436,0.0,0.254552530515651,0.007923289954730933,0.0,136.3535,3.4835,,,,,0.6613041807799553,7.824087341166076,0.05147291529547645,5.670087028028279,0.04207626474194343,0.010126511691174898,0.005054301374648112,0.0,0.0,0.0,0.0,90.165,1065.8685,6.99675,19.3645,0.1375,0.71025,8
29,Jonathan Taylor,IND,RB,8.0,1.0,233.40513025979715,95.18718495230402,239.72194354375105,350.49041554158634,220.921675,14.34575,0.0,0.4950274406146492,0.0,0.08962305635086154,0.4804152462893139,0.0,45.5205,222.753,,,,,0.8108865414349898,6.009799046411208,0.03314061936283869,4.436118017082911,0.03734701025762135,0.005790532047262095,0.002890145686784382,0.0,0.0,0.0,0.0,36.85875,272.59925,1.50425,987.975,8.4155,0.7565,5
30,Matthew Stafford,LAR,QB,78.0,1.0,231.73421703070588,63.562000000000005,244.71000000000004,345.59733763032375,193.12274000000002,14.58075,0.0,0.7692728765788918,0.7171266727674969,0.0,0.04770691687999096,400.52275,0.0,22.0595,0.6586102298565483,7.451169849732301,0.049427660500309355,0.016206652540496927,,,,2.7057870370274,0.0375511234846022,0.009018109417462838,0.004501080353773945,264.1805,2992.02725,19.833,6.522,0.0,0.0,0.0,57.8715,0.858,1.89075,17
31,Chris Olave,NO,WR,19.0,1.0,227.0377095678707,105.89000000000001,233.21440844918243,336.42,242.79335,14.25075,0.0,0.5734197038085913,0.0,0.2660006333799886,0.0009666092518049227,0.0,140.79125,0.44825,,,,,0.6237284366397102,7.9505558268797385,0.05102017279151397,5.819661961982602,0.03260640641450582,0.0033383872024711422,0.0016662415984037534,0.0,0.0,0.0,0.0,87.7475,1120.03975,7.19575,2.65375,0.0155,0.2455,9
32,James Cook,BUF,RB,12.0,1.0,222.90425850718276,100.00000000000001,227.6581389259841,336.17999999999995,232.40007500000002,14.8155,0.0,0.4629404930727111,0.0,0.0669173148691332,0.5267645785503595,0.0,32.243,272.69475,,,,,0.7950901607480848,6.087676516902487,0.03414873644547797,4.702918106157329,0.034050171505260476,0.012729667524158958,0.0063535774241233545,0.0,0.0,0.0,0.0,25.5515,194.99425,1.11675,1286.6615,9.31875,1.965,6
33,George Pickens,DAL,WR,20.0,1.0,222.23929530875782,106.5196773424619,230.6957484931912,323.31,219.60209999999998,14.40675,0.0,0.5849006261663735,0.0,0.21547659649762738,0.009149246072280057,0.0,118.805,4.3345,,,,,0.6439826191452419,8.800224099886012,0.05250984598005137,5.175531252918224,0.027960304899609517,0.013839576524777871,0.006907550476112359,0.0,0.0,0.0,0.0,76.46825,1045.0025,6.2395,21.351,0.1235,0.83975,10
34,Zay Flowers,BAL,WR,25.0,1.0,221.0143608463759,97.87000000000002,226.79112088761383,331.7790259876154,251.8162,14.662,0.0,0.6340627118271575,0.0,0.29181515984173156,0.01574279061603507,0.0,134.7555,8.1645,,,,,0.670943229739562,8.705708332046642,0.04859488442070128,5.8276104846384165,0.03674707204526726,0.011467640381711988,0.005723679813234122,0.0,0.0,0.0,0.0,90.515,1174.77075,6.48625,46.91625,0.3105,0.824,11
35,Nico Collins,HOU,WR,22.0,1.0,218.08000907756843,103.03000000000002,224.82956962307748,322.1396516950989,221.73845,14.13875,0.0,0.540612491140052,0.0,0.24126663859009034,0.002099353129798249,0.0,126.17025,0.9755,,,,,0.6089871950386451,8.531906740728504,0.04958366154243015,5.707169262776053,0.035333767121415706,0.00637272552555571,0.003180727615427688,0.0,0.0,0.0,0.0,76.66725,1076.603,6.23775,5.874,0.03525,0.40725,12
36,Jordan Love,GB,QB,155.0,1.0,217.39334228023907,94.736,223.08327764837193,326.9459751559694,222.99803,14.87175,0.0,0.7786189559652298,0.7305242477748529,0.0,0.189401734510355,386.69525,0.0,88.38175,0.6502572552643512,7.424665118801808,0.045711203195495285,0.018872905884932463,,,,4.217389666515919,0.03976071393637069,0.010711001376502747,0.005346029376364114,251.398,2861.62575,17.55225,7.206,0.0,0.0,0.0,370.055,3.4635,2.52525,18
37,Chase Brown,CIN,RB,14.0,1.0,216.96680726572268,84.76,218.25,339.3044614884457,231.331075,14.734,0.0,0.4129931637785657,0.0,0.12884598460012514,0.47350527383972646,0.0,70.9615,196.08175,,,,,0.7872009400671429,5.720448794658561,0.03544102143105874,4.332157575020487,0.030907109312258194,0.006375847040770202,0.0031822856128033627,0.0,0.0,0.0,0.0,55.88225,404.1705,2.5425,849.76775,6.0865,0.8595,7
